Name,Pool 1,Pool 2,Final
"YERGLER, Jonathan",58,25,27
"DAROIAN, Emon",59,14,36
"CHAO, Kevin",60,76,76
"TSANG, Lok Hin Gary",60,104,104
"SUVOROV, Yuly",62,87,87
"LIPTON, Jason",63,105,105
"DINKINS, Ramadan",63,4,20
"ARLINGTON, Nicholas",65,80,80
"SULLIVAN, Cameron",66,106,106
"ARIETA, Ryan",67,20,25
"TIKHOMIROV, Arseni",68,73,73
"CAMPBELL-KRUGER, Nicholas",69,36,45
"SHORT, Salim",70,97,97
"SENSEMAN, Samuel",71,107,107
"MUNLIN, Donovan",72,108,108
"ISAAC, Joseph",73,87,87
"TOMLINSON, Ryan",74,109,109
"COTTAM, Bobby",75,110,110
"TOLKACHEV, Denis",76,53,30
"HERBST, Eliot",77,111,111
"LARSEN, Samuel",78,60,32
"SVIDNYTSKIY, Artem (Tim)",79,77,77
"BUCKLEY, Michael",80,85,85
"GIBSON, Tristan",81,112,112
"MECKE, Cedric",82,91,91
"SWANSON, Lars",83,78,78
"MADISON, Ethan",84,113,113
"FAUBERT, Andy",85,114,114
"STYMNE, Jakob",85,114,114
"CUMMINGS, Atticus",85,114,114
"PITTET, Alexandre",85,51,16
"CANDREVA, Hunter",85,90,90
"KHAYAT, Ziad",90,117,117
"ROBISON, Nicholas",91,118,118
"VAYSBERG, Nathan",92,98,98
"CONNOR, Ryan",93,62,62
"ROTH, Charles",93,67,67
"MECHKOV, Iliya",93,38,47
"JONES, Simon",93,22,11
"HANAHAN, Nicholas",97,25,27
"BARR, Davidson",98,57,58
"FLAHERTY, Aimon",98,119,119
"WEISS, Lewis",98,119,119
"CHMUT, Anton",101,121,121
"PROCTOR, Oliver",102,122,122
"JI, Victor",103,123,123
"BAILEY, Nathan",103,123,123
"CHILANA, Udaypaul",105,125,125
"KIMATIAN, Stephen",106,34,44
"MILLER, Finn",107,23,40
"DORATI AMEGLIO, ARTURO",108,81,81
"LOPARCO, Michael",108,126,126
"MIRANDA, Jax",110,86,86
"SCHOUKER, Sacha",111,163,163
"MAISONET, Hector",112,52,55
"NOSIL, Andrew",112,127,127
"AHEARN, Bryan",114,128,128
"LITWIN, Matthew",115,129,129
"POULIQUEN, Nicolas",116,64,64
"HAIDER, Syed Safi",117,130,130
"MAAS, Cameron",118,131,131
"VAG-URMINSKY, Paul",119,164,164
"FACCI, Michael",120,94,94
"CHO, Jonah",121,132,132
"LANGE, Henry",122,49,54
"CHOO, Joseph",123,79,79
"MANDOKI, Sandor",124,133,133
"ANTEKEIER, Aidan",125,15,23
"SHERRILL, Teddy",126,30,42
"TOLTUS, Gabriel",127,165,165
"SHELANSKI, Isaac",128,166,166
"SIRAND, Luke",129,134,134
"BENNION, Michael",130,167,167
"WILSON, Brent",131,168,168
"ZACHARAKIS, Demetri",132,135,135
"HRAPSKY, Ryan",133,49,15
"LICHTEN, Keith",133,136,136
"CROTCHETT, Kaiden",135,169,169
"YAMASAKI, Kyle",136,137,137
"STUSNICK, Hunter",136,137,137
"SMOAK, Omari",136,20,39
"YAMANAKA, Mick",139,139,139
"YU, Colin",140,170,170
"HENKELS, Jacob",141,140,140
